Algorithm,ImputerNum,ImputerCat,Imbalance,Metrics,Score
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-TP,6781.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-TP,6977.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-TP,6327.0
KNN,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-TP,6923.0
SVM,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-TP,6871.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-TP,6788.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-TP,6988.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-TP,6351.0
KNN,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-TP,6921.0
SVM,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-TP,6870.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-FP,143.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-FP,0.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-FP,247.0
KNN,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-FP,166.0
SVM,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-FP,136.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-FP,143.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-FP,0.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-FP,247.0
KNN,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-FP,166.0
SVM,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-FP,136.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-FP,143.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-FP,0.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-FP,247.0
KNN,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-FP,166.0
SVM,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-FP,136.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-FP,143.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-FP,0.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-FP,247.0
KNN,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-FP,166.0
SVM,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-FP,136.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-FP,143.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-FP,0.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-FP,247.0
KNN,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-FP,166.0
SVM,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-FP,136.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-FP,143.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-FP,0.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-FP,247.0
KNN,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-FP,166.0
SVM,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-FP,136.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-FP,130.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-FP,0.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-FP,239.0
KNN,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-FP,173.0
SVM,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-FP,122.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-TN,6844.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-TN,6987.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-TN,6740.0
KNN,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-TN,6821.0
SVM,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-TN,6851.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-TN,6844.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-TN,6987.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-TN,6740.0
KNN,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-TN,6821.0
SVM,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-TN,6851.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-TN,6844.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-TN,6987.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-TN,6740.0
KNN,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-TN,6821.0
SVM,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-TN,6851.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-TN,6844.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-TN,6987.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-TN,6740.0
KNN,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-TN,6821.0
SVM,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-TN,6851.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-TN,6844.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-TN,6987.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-TN,6740.0
