Algorithm,ImputerNum,ImputerCat,Imbalance,Metrics,Score
SVM,KNNImptuer,SimpleImputer_mode,SMOTE,Train-FP,146.0
LogisticRegression,KNNImptuer,SimpleImputer_mode,ADASYN,Train-FP,154.0
DecisionTree,KNNImptuer,SimpleImputer_mode,ADASYN,Train-FP,0.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,ADASYN,Train-FP,248.0
KNN,KNNImptuer,SimpleImputer_mode,ADASYN,Train-FP,183.0
SVM,KNNImptuer,SimpleImputer_mode,ADASYN,Train-FP,146.0
LogisticRegression,KNNImptuer,SimpleImputer_mode,OriginalData,Train-FP,154.0
DecisionTree,KNNImptuer,SimpleImputer_mode,OriginalData,Train-FP,0.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,OriginalData,Train-FP,248.0
KNN,KNNImptuer,SimpleImputer_mode,OriginalData,Train-FP,183.0
SVM,KNNImptuer,SimpleImputer_mode,OriginalData,Train-FP,146.0
LogisticRegression,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-FP,132.0
DecisionTree,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-FP,0.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-FP,241.0
KNN,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-FP,181.0
SVM,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-FP,140.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-TN,6834.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-TN,6987.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-TN,6741.0
KNN,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-TN,6802.0
SVM,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-TN,6834.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-TN,6834.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-TN,6987.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-TN,6741.0
KNN,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-TN,6802.0
SVM,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-TN,6834.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-TN,6834.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-TN,6987.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-TN,6741.0
KNN,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-TN,6802.0
SVM,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-TN,6834.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-TN,6844.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-TN,6976.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-TN,6739.0
