Algorithm,Imputer,Imbalance,Metric,Score,Set,MainMetric
NaiveBayes,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,94.31,Train,Accuracy
KNN,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,97.11,Train,Accuracy
SVM,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,97.31,Train,Accuracy
RandomForest,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,100.0,Train,Accuracy
GradientBoosting,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,97.29,Train,Accuracy
Bagging,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,99.83,Train,Accuracy
XGBoost,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,100.0,Train,Accuracy
LogisticRegression,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,98.58,Train,Accuracy
DecisionTree,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,100.0,Train,Accuracy
NaiveBayes,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,92.91,Train,Accuracy
KNN,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,97.93,Train,Accuracy
SVM,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,99.01,Train,Accuracy
RandomForest,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,100.0,Train,Accuracy
GradientBoosting,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,99.16,Train,Accuracy
Bagging,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,99.78,Train,Accuracy
XGBoost,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,100.0,Train,Accuracy
LogisticRegression,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Accuracy,97.29,Train,Accuracy
DecisionTree,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Accuracy,100.0,Train,Accuracy
NaiveBayes,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Accuracy,93.6,Train,Accuracy
KNN,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Accuracy,97.65,Train,Accuracy
SVM,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Accuracy,97.94,Train,Accuracy
RandomForest,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Accuracy,100.0,Train,Accuracy
GradientBoosting,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Accuracy,97.98,Train,Accuracy
Bagging,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Accuracy,99.83,Train,Accuracy
XGBoost,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Accuracy,100.0,Train,Accuracy
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,95.07,Train,Kappa
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,100.0,Train,Kappa
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,86.88,Train,Kappa
KNN,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,96.52,Train,Kappa
SVM,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,96.58,Train,Kappa
RandomForest,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,100.0,Train,Kappa
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,95.95,Train,Kappa
Bagging,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,99.7,Train,Kappa
