Algorithm,Imputer,Imbalance,Metric,Score
KNN,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-Kappa,96.33
SVM,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-Kappa,96.63
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-TP,677400.0
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-TP,697700.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-TP,633700.0
KNN,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-TP,691100.0
SVM,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-TP,688100.0
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-TP,677400.0
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-TP,697700.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-TP,633700.0
KNN,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-TP,691100.0
SVM,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-TP,688100.0
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-TP,677400.0
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-TP,697700.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-TP,633700.0
KNN,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-TP,691100.0
SVM,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-TP,688100.0
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-TP,678200.0
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-TP,698800.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-TP,637100.0
KNN,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-TP,691400.0
SVM,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-TP,688500.0
LogisticRegression,KNNImptuer_SimpleImputer_mode,SMOTE,Train-TP,678700.0
DecisionTree,KNNImptuer_SimpleImputer_mode,SMOTE,Train-TP,697700.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,SMOTE,Train-TP,632700.0
KNN,KNNImptuer_SimpleImputer_mode,SMOTE,Train-TP,691100.0
SVM,KNNImptuer_SimpleImputer_mode,SMOTE,Train-TP,690200.0
LogisticRegression,KNNImptuer_SimpleImputer_mode,ADASYN,Train-TP,678700.0
DecisionTree,KNNImptuer_SimpleImputer_mode,ADASYN,Train-TP,697700.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,ADASYN,Train-TP,632700.0
KNN,KNNImptuer_SimpleImputer_mode,ADASYN,Train-TP,691100.0
SVM,KNNImptuer_SimpleImputer_mode,ADASYN,Train-TP,690200.0
LogisticRegression,KNNImptuer_SimpleImputer_mode,OriginalData,Train-TP,678700.0
DecisionTree,KNNImptuer_SimpleImputer_mode,OriginalData,Train-TP,697700.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,OriginalData,Train-TP,632700.0
KNN,KNNImptuer_SimpleImputer_mode,OriginalData,Train-TP,691100.0
SVM,KNNImptuer_SimpleImputer_mode,OriginalData,Train-TP,690200.0
LogisticRegression,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-TP,678400.0
DecisionTree,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-TP,698800.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-TP,636100.0
KNN,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-TP,691600.0
SVM,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-TP,688200.0
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-FP,14700.0
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-FP,0.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-FP,24700.0
