Algorithm,Imputer,Imbalance,Metric,Score
GradientBoosting,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,97.29
Bagging,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,99.75
LogisticRegression,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,98.36
DecisionTree,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,92.6
KNN,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,97.76
SVM,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,98.79
RandomForest,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,99.03
Bagging,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,99.91
LogisticRegression,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,97.62
DecisionTree,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,93.65
KNN,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,98.24
SVM,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,98.38
RandomForest,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,97.99
Bagging,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,99.81
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,95.07
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,86.88
KNN,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,96.52
SVM,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,96.58
RandomForest,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,95.95
Bagging,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,99.7
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Kappa,94.82
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Kappa,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Kappa,87.28
