Algorithm,Imputer,Imbalance,Metric,Score
KNN,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,95.5
SVM,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,97.0
RandomForest,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,97.5
Bagging,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,99.8
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TP,1961.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TP,2005.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TP,1818.0
KNN,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TP,1979.0
SVM,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TP,1993.0
RandomForest,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TP,2005.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TP,1975.0
Bagging,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TP,2002.0
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TP,1961.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TP,2005.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TP,1818.0
KNN,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TP,1979.0
SVM,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TP,1993.0
RandomForest,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TP,2005.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TP,1975.0
Bagging,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TP,2004.0
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TP,1961.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TP,2005.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TP,1818.0
KNN,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TP,1979.0
SVM,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TP,1993.0
RandomForest,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TP,2005.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TP,1975.0
Bagging,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TP,2003.0
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TP,1959.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TP,1998.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TP,1816.0
KNN,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TP,1974.0
SVM,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TP,1985.0
RandomForest,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TP,1998.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TP,1969.0
Bagging,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TP,1993.0
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-TP,1959.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-TP,1998.0
