Algorithm,Imputer,Imbalance,Metric,Score
SVM,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,96.62
LogisticRegression,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Kappa,95.04
DecisionTree,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Kappa,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Kappa,87.45
KNN,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Kappa,96.41
SVM,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Kappa,96.62
LogisticRegression,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,95.04
DecisionTree,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,87.45
KNN,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,96.41
SVM,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,96.62
LogisticRegression,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,95.29
DecisionTree,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,87.97
KNN,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,96.59
SVM,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,96.65
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TP,6782.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TP,6977.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TP,6350.0
KNN,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TP,6903.0
SVM,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TP,6882.0
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TP,6782.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TP,6977.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TP,6350.0
KNN,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TP,6903.0
SVM,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TP,6882.0
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TP,6782.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TP,6977.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TP,6350.0
KNN,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TP,6903.0
SVM,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-TP,6882.0
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TP,6790.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TP,6988.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TP,6385.0
KNN,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TP,6919.0
SVM,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-TP,6875.0
LogisticRegression,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TP,6782.0
DecisionTree,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TP,6977.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TP,6347.0
KNN,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TP,6909.0
SVM,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TP,6886.0
LogisticRegression,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TP,6782.0
DecisionTree,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TP,6977.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TP,6347.0
KNN,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TP,6909.0
SVM,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TP,6886.0
LogisticRegression,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TP,6782.0
DecisionTree,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TP,6977.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TP,6347.0
KNN,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TP,6909.0
SVM,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TP,6886.0
